"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"2000","Giants","2123","5519","6418",".278",".194","34.7","4.6","53.7"
"1924","Indians","1779","5328","6026",".298",".104","17.9","4.8","-3.3"
"1994","Indians","1188","4021","4492",".289",".194","19.7","5.4","-19.8"
"1925","Phillies","1854","5412","6035",".295",".130","6.5","4.3","-36.0"
"1928","Giants","1758","5457","6099",".293",".137","30.7","4.7","82.5"
"1938","Tigers","1675","5268","6058",".272",".139","17.3","4.9","43.2"
"2004","Red Sox","2417","5720","6515",".282",".190","24.7","4.4","-66.6"
"1996","Rockies","2319","5590","6333",".287",".185","17.6","5.9","35.7"
"1920","White Sox","1568","5330","6030",".295",".107","25.5","5.8","32.9"
"1999","Yankees","1891","5568","6416",".282",".171","25.9","4.7","-39.9"
"1929","Robins","1730","5272","5953",".291",".136","14.5","5.0","-5.9"
"1935","Yankees","1610","5214","5917",".280",".136","30.3","5.0","79.9"
"1996","Rangers","1706","5702","6494",".284",".184","27.0","4.5","3.2"
"1955","Dodgers","1820","5192","6036",".271",".177","33.3","4.5","91.2"
"1976","Reds","2135","5702","6538",".280",".144","45.9","6.1","39.2"
"2000","White Sox","1791","5646","6410",".286",".184","25.9","5.1","-9.6"
"1932","Phillies","1751","5506","6102",".292",".151","20.0","5.1","7.2"
"1998","Rangers","1875","5671","6400",".289",".173","27.6","4.4","-0.4"
"1995","Rockies","2118","4994","5647",".282",".189","12.4","5.4","1.8"
"1924","Browns","1766","5221","5907",".295",".113","15.1","4.7","21.4"
"1941","Yankees","1667","5443","6136",".269",".150","37.2","4.5","102.8"
"1934","Indians","1683","5396","6026",".287",".136","21.0","4.4","42.0"
"2001","Rockies","2178","5689","6393",".292",".191","26.6","5.8","102.6"
"1922","Indians","1787","5291","6089",".292",".106","18.8","5.2","-2.6"
"1948","Braves","1813","5293","6116",".275",".124","33.7","4.2","53.6"
"1937","Indians","1708","5352","6039",".280",".143","16.4","5.4","7.4"
"2000","Athletics","2066","5560","6432",".270",".188","22.8","3.7","-62.9"
"1926","Cardinals","1701","5380","6103",".286",".129","29.1","5.5","73.7"
"1995","Red Sox","1522","4997","5716",".280",".175","30.2","4.7","59.8"
"1925","White Sox","1695","5222","6163",".284",".102","22.0","5.2","46.9"
"1937","Cubs","1724","5348","6027",".287",".129","31.2","5.0","48.8"
"2000","Angels","1839","5628","6373",".280",".193","31.3","4.3","52.7"
"1953","Yankees","1914","5188","5953",".274",".144","34.2","3.9","36.9"
"1996","Red Sox","1785","5754","6543",".283",".173","16.8","4.5","-97.0"
"2006","Yankees","2430","5651","6455",".285",".177","24.2","4.9","-91.9"
"1937","Red Sox","1660","5354","6085",".281",".130","11.8","5.0","3.1"
"1924","White Sox","1704","5239","6116",".289",".095","17.4","5.2","-24.0"
"1977","Red Sox","1588","5508","6182",".282",".183","29.3","4.6","-0.5"
"1996","Orioles","1702","5689","6494",".274",".198","23.1","4.4","-51.1"
"1922","Yankees","1602","5240","5998",".287",".124","26.0","4.9","83.8"
"1951","Giants","1803","5349","6140",".261",".158","31.3","4.4","63.3"
"2008","Rangers","2281","5728","6478",".283",".179","25.6","4.9","-73.4"
"1947","Dodgers","1908","5249","6125",".272",".112","30.0","4.7","73.2"
"1999","Rockies","2282","5717","6369",".288",".184","1.3","4.5","-45.2"
"1926","White Sox","1703","5221","6035",".289",".102","25.2","5.1","55.4"
"1941","Browns","1786","5407","6284",".266",".124","19.8","4.2","9.0"
"1925","Indians","1760","5440","6169",".297",".102","16.6","4.7","25.6"
"1993","Tigers","1701","5620","6505",".275",".159","25.7","4.6","-54.8"
"1997","Red Sox","1873","5779","6428",".291",".171","28.4","4.0","-0.7"
"2003","Braves","2362","5670","6378",".284",".192","35.6","4.5","46.7"
"1924","Senators","1687","5303","6099",".294",".094","27.6","5.5","80.1"
"1947","Yankees","1723","5308","6031",".271",".135","32.3","4.3","59.7"
"1994","White Sox","1205","3942","4556",".287",".156","22.6","5.2","0.0"
"2000","Cardinals","2196","5478","6369",".270",".185","31.2","4.3","82.1"
"2000","Rockies","2221","5660","6453",".294",".161","15.5","5.5","100.6"
"1999","Blue Jays","1862","5642","6370",".280",".177","23.7","4.3","-10.1"
"1942","Yankees","1591","5300","6004",".270",".125","39.5","4.9","104.3"
"1979","Red Sox","1733","5538","6184",".283",".173","28.1","4.0","16.9"
"1936","Browns","1827","5391","6107",".279",".124","4.3","5.1","-28.4"
"1923","Cubs","1675","5256","5893",".288",".117","23.9","5.4","68.2"
"1998","Mariners","1858","5631","6331",".276",".192","26.0","4.8","-30.5"
"1949","Cardinals","1891","5461","6149",".277",".127","24.2","3.8","50.9"
"1954","Cardinals","2053","5405","6127",".281",".140","24.7","4.5","51.6"
"1939","Indians","1759","5316","6006",".280",".132","19.8","5.3","25.5"
"1932","Indians","1569","5412","6121",".285",".128","18.9","4.7","33.4"
"1919","Indians","1491","4565","5325",".278",".103","24.0","5.7","15.1"
"1998","Red Sox","2043","5601","6302",".280",".183","31.1","4.6","44.2"
"1944","Cardinals","1755","5474","6168",".275",".126","36.9","4.3","99.3"
"1934","Athletics","1732","5320","5922",".280",".144","21.5","4.5","68.1"
"2005","Red Sox","2344","5626","6403",".281",".174","27.6","3.9","-33.9"
