"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1999","Indians","1859","6554","209","1009","960","147","11.3 %","16.8 %",".177",".323",".289",".373",".467",".367","112","6.9","114.5","18.6","34.4"
"2003","Cardinals","2391","6466","196","876","827","82","9.0 %","14.7 %",".175",".302",".279",".350",".454",".346","109","9.2","83.9","53.5","34.4"
"1985","Cardinals","2121","6182","87","747","687","314","9.5 %","13.8 %",".114",".298",".264",".335",".379",".319","102","22.6","37.0","93.0","34.3"
"1983","Tigers","1848","6244","156","789","749","93","8.1 %","13.3 %",".153",".295",".274",".335",".427",".339","110","-3.3","66.6","60.6","34.3"
"1935","Cubs","1653","6130","88","845","781","66","7.6 %","7.7 %",".126",".303",".288",".347",".414",".350","105","11.2","52.9","89.1","34.3"
"1946","Red Sox","1753","6126","109","792","737","45","11.2 %","10.8 %",".131",".293",".271",".356",".402",".360","109","-7.9","54.3","57.7","34.3"
"1968","Tigers","2057","6179","185","671","640","26","8.4 %","15.6 %",".150",".253",".235",".307",".385",".316","108","-5.2","42.2","95.4","34.3"
"1938","Yankees","1614","6259","174","966","918","91","12.0 %","9.9 %",".172",".283",".274",".366",".446",".374","105","3.4","52.0","63.1","34.2"
"1953","Yankees","1914","5953","139","798","762","34","11.0 %","10.8 %",".144",".291",".274",".359",".418",".356","115","-6.0","104.1","36.9","34.2"
"1942","Red Sox","1625","5984","103","761","702","68","9.9 %","8.5 %",".126",".291",".276",".352",".403",".359","109","-12.5","50.7","65.7","34.2"
"1982","Angels","1779","6350","186","814","760","55","9.7 %","12.0 %",".159",".287",".274",".347",".433",".347","114","-9.8","95.4","31.3","34.1"
"1960","Yankees","2093","5981","193","746","699","37","9.0 %","13.7 %",".165",".274",".260",".329",".426",".335","107","0.3","48.5","106.9","34.0"
"1997","Mariners","1911","6385","264","925","890","89","9.8 %","17.4 %",".204",".305",".280",".355",".485",".363","116","1.0","133.6","-10.9","34.0"
"1921","Giants","1755","5945","75","840","748","137","7.9 %","6.5 %",".123",".312",".298",".359",".421",".361","108","-4.4","54.6","87.1","34.0"
"1934","Yankees","1713","6178","135","842","789","71","11.3 %","9.7 %",".140",".293",".278",".364",".419",".362","107","-9.1","55.7","74.1","33.9"
"2016","Red Sox","1823","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","9.6","105.8","10.9","33.9"
"2007","Yankees","2366","6528","201","968","929","123","9.8 %","15.2 %",".174",".318",".290",".366",".463",".361","119","11.9","168.4","-47.2","33.9"
"1966","Pirates","2073","6222","158","759","715","64","6.5 %","16.2 %",".149",".314",".280",".329",".428",".331","108","-6.7","53.3","46.7","33.8"
"1956","Yankees","1928","6069","190","857","787","51","10.1 %","12.4 %",".165",".282",".270",".347",".434",".348","108","-1.0","58.5","68.6","33.8"
"1948","Braves","1813","6116","95","739","693","43","10.9 %","8.8 %",".124",".292",".275",".358",".399",".357","110","5.8","82.4","53.6","33.7"
"2004","Cardinals","2381","6297","214","855","817","111","8.7 %","17.2 %",".182",".307",".278",".344",".460",".344","107","18.9","72.1","60.7","33.6"
"1917","Giants","1719","5787","39","635","537","162","6.4 %","9.2 %",".082",".285",".261",".317",".343",".322","106","1.5","38.7","76.6","33.5"
"1934","Tigers","1664","6227","74","957","872","125","10.2 %","8.4 %",".124",".322",".300",".376",".424",".371","107","-2.4","62.0","62.1","33.5"
"2009","Rays","2345","6223","199","803","765","194","10.3 %","19.7 %",".177",".303",".263",".343",".439",".342","109","21.6","90.5","31.6","33.5"
"1949","Dodgers","1830","6171","152","879","816","117","10.3 %","9.2 %",".146",".283",".274",".354",".419",".362","105","22.1","60.4","74.0","33.4"
"2008","Red Sox","2293","6402","173","845","807","120","10.1 %","16.7 %",".168",".315",".280",".358",".447",".351","110","-4.7","72.2","43.3","33.4"
"2009","Yankees","2369","6449","244","915","881","111","10.3 %","15.7 %",".194",".306",".283",".362",".478",".365","117","0.2","137.5","-24.8","33.3"
"1943","Cardinals","1729","6055","70","679","638","40","7.1 %","7.2 %",".113",".293",".279",".334",".392",".346","106","5.6","48.1","81.3","33.3"
"1955","Dodgers","1820","6036","201","857","800","79","11.2 %","11.9 %",".177",".278",".271",".356",".448",".358","109","-1.9","67.4","91.2","33.3"
"1978","Dodgers","2008","6188","149","725","680","137","9.8 %","13.2 %",".139",".284",".264",".338",".403",".333","108","8.2","64.6","44.1","33.3"
"1986","Mets","2086","6349","148","783","730","118","9.9 %","15.2 %",".138",".292",".263",".339",".401",".328","108","3.9","64.0","52.7","33.3"
"1965","Reds","1979","6351","183","824","776","82","8.5 %","15.8 %",".166",".302",".273",".340",".439",".343","112","1.7","85.9","12.0","33.2"
"1967","Tigers","2132","6200","152","683","619","37","10.1 %","16.0 %",".133",".271",".243",".325",".376",".318","105","3.2","38.0","94.7","33.1"
"1922","Browns","1619","6130","98","868","785","136","7.7 %","6.2 %",".143",".321",".310",".369",".453",".378","107","8.7","68.3","72.2","33.0"
"1954","Yankees","2044","6026","133","805","747","34","10.8 %","10.5 %",".140",".281",".268",".348",".408",".348","112","-4.9","75.4","58.4","33.0"
"1957","Yankees","1881","5991","145","723","680","49","9.4 %","11.8 %",".141",".284",".268",".339",".409",".331","107","-0.8","49.3","84.1","33.0"
"2011","Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","6.3","33.0"
"1931","Athletics","1575","6018","118","858","798","25","8.8 %","9.0 %",".147",".302",".287",".355",".435",".363","104","-6.3","27.6","86.9","32.8"
"1971","Athletics","2014","6189","160","691","642","80","8.7 %","16.4 %",".132",".281",".252",".321",".384",".320","105","-2.2","33.5","79.6","32.8"
"1986","Tigers","1729","6269","198","798","751","138","9.8 %","14.1 %",".161",".279",".263",".338",".424",".338","110","3.8","76.1","35.5","32.8"
"1929","Cubs","1712","6252","139","982","933","103","9.4 %","9.1 %",".150",".318",".303",".373",".452",".377","105","18.0","62.4","74.9","32.8"
