"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2016","Rangers","1861","6089","215","765","746","99","7.2 %","20.0 %",".172",".298",".262",".322",".433",".324","98","1.8","-13.8","-7.9","19.0"
"1985","Expos","2217","6053","118","633","593","169","8.1 %","14.5 %",".128",".273",".247",".310",".375",".303","92","1.4","-56.4","42.2","19.0"
"1947","Athletics","1699","5956","61","632","580","37","10.1 %","9.4 %",".097",".273",".252",".333",".350",".324","90","-7.0","-77.9","74.2","19.0"
"1945","Red Sox","1774","6016","50","599","559","72","9.0 %","8.9 %",".086",".281",".260",".330",".346",".326","93","-8.2","-55.5","48.5","18.9"
"1982","Phillies","2118","6092","112","664","622","127","8.3 %","13.6 %",".116",".287",".260",".323",".376",".312","93","-4.5","-51.0","28.2","18.9"
"1932","Indians","1569","6121","78","845","786","52","9.2 %","7.4 %",".128",".300",".285",".357",".413",".352","95","-14.5","-58.4","33.4","18.9"
"1932","Giants","1818","5948","116","755","718","31","5.9 %","6.6 %",".130",".281",".276",".322",".406",".330","97","5.2","-20.1","24.9","18.9"
"2002","Blue Jays","2236","6230","187","813","771","71","8.4 %","18.3 %",".169",".295",".261",".327",".430",".329","97","11.5","-15.5","-7.8","18.9"
"1960","Dodgers","1970","5909","125","661","605","95","8.9 %","14.0 %",".128",".280",".255",".324",".384",".317","89","0.0","-74.7","65.5","18.9"
"2014","Brewers","2327","6065","150","650","617","102","7.0 %","19.7 %",".147",".293",".250",".311",".397",".313","94","-10.7","-54.8","46.9","18.9"
"1953","Giants","1926","5945","176","768","739","31","8.4 %","10.2 %",".152",".279",".271",".336",".423",".345","96","2.6","-32.9","31.6","18.9"
"1916","Reds","1709","5783","14","505","422","157","6.3 %","9.9 %",".077",".283",".254",".307",".331",".311","95","7.1","-21.4","2.5","18.9"
"2009","Braves","2335","6335","149","735","700","58","9.5 %","16.8 %",".142",".300",".263",".339",".405",".327","97","-20.2","-44.2","29.4","18.9"
"1937","White Sox","1638","5956","67","780","726","70","9.2 %","7.5 %",".120",".296",".280",".350",".400",".348","87","-4.5","-112.4","87.9","18.8"
"2005","Orioles","2323","6134","189","729","700","83","7.3 %","14.7 %",".165",".289",".269",".327",".434",".330","101","-9.5","-0.6","-18.7","18.8"
"2015","Red Sox","2268","6237","161","748","706","71","7.7 %","18.4 %",".149",".305",".265",".325",".415",".321","98","0.9","-16.9","-10.0","18.8"
"1935","Indians","1723","6097","93","776","737","63","7.5 %","9.3 %",".137",".304",".284",".341",".421",".349","94","-13.1","-61.6","48.6","18.8"
"1923","Senators","1687","6050","26","719","626","102","8.7 %","7.4 %",".093",".296",".274",".346",".367",".338","93","7.4","-51.5","45.1","18.8"
"1944","Giants","1885","5952","93","682","644","39","8.6 %","8.1 %",".106",".276",".263",".330",".370",".333","95","4.4","-31.1","27.4","18.8"
"1922","Indians","1787","6089","32","767","698","90","9.0 %","5.5 %",".106",".307",".292",".364",".398",".357","99","7.0","-0.5","-2.6","18.8"
"1991","Brewers","1638","6311","116","799","750","106","8.8 %","12.7 %",".125",".296",".271",".336",".396",".328","104","-5.9","25.6","-49.4","18.8"
"1917","Phillies","1614","5725","38","578","526","109","7.6 %","9.3 %",".090",".271",".248",".310",".339",".317","95","-6.8","-36.9","21.8","18.8"
"1945","Tigers","1752","5883","77","633","588","60","8.8 %","9.0 %",".105",".273",".256",".324",".361",".328","93","-11.9","-54.9","50.2","18.7"
"2012","Tigers","2248","6119","163","726","698","59","8.4 %","18.0 %",".154",".307",".268",".335",".422",".328","105","-17.1","16.1","-40.4","18.7"
"1918","Indians","1351","4866","9","505","423","165","10.1 %","7.9 %",".081",".285",".260",".344",".341",".339","103","5.6","21.7","-18.0","18.7"
"1972","Braves","1891","5938","144","628","593","47","9.0 %","13.0 %",".124",".277",".258",".328",".382",".325","96","-1.7","-24.9","-12.1","18.7"
"1983","Pirates","2103","6176","121","658","612","122","8.0 %","14.1 %",".119",".293",".264",".325",".383",".316","94","-7.0","-49.5","29.1","18.7"
"1965","Tigers","2005","6064","162","680","635","57","9.1 %","15.7 %",".136",".260",".238",".312",".374",".307","94","-3.7","-47.2","40.3","18.7"
"1975","Mets","2052","6237","101","646","604","32","8.0 %","12.9 %",".105",".282",".256",".319",".361",".311","92","-2.6","-57.8","33.5","18.7"
"2016","Pirates","2269","6261","153","729","696","110","9.0 %","21.3 %",".144",".311",".257",".332",".402",".318","99","-7.0","-16.5","-0.5","18.6"
"2014","Marlins","2311","6185","122","645","614","58","8.1 %","22.9 %",".125",".316",".253",".317",".378",".307","95","-5.7","-42.4","28.7","18.6"
"1996","Yankees","1734","6414","162","870","830","96","9.9 %","14.2 %",".148",".315",".288",".360",".436",".348","103","-3.2","23.5","-66.6","18.6"
"1997","Royals","1929","6295","158","747","711","130","8.9 %","16.9 %",".143",".299",".264",".333",".407",".327","92","-2.0","-66.0","33.8","18.6"
"2002","Astros","2342","6252","167","749","719","71","9.4 %","17.9 %",".156",".300",".262",".338",".417",".329","94","-6.2","-50.9","33.4","18.6"
"1972","Red Sox","1857","5866","124","640","594","66","8.9 %","14.6 %",".129",".273",".248",".318",".376",".317","101","3.7","7.2","-12.5","18.6"
"2008","Twins","2287","6331","111","829","791","102","8.4 %","15.5 %",".129",".316",".279",".340",".408",".328","99","12.3","4.7","-35.2","18.6"
"1925","Reds","1722","5833","44","690","622","108","7.0 %","5.6 %",".102",".297",".285",".339",".386",".337","88","-14.0","-109.2","96.6","18.5"
"1918","Giants","1333","4589","13","480","400","130","5.9 %","8.0 %",".071",".282",".260",".310",".330",".314","98","2.6","-8.9","34.3","18.5"
"1959","Red Sox","2012","5985","125","726","678","68","10.5 %","13.5 %",".130",".279",".256",".335",".385",".324","93","5.7","-43.6","52.3","18.5"
"2003","Blue Jays","2278","6364","190","894","853","37","8.6 %","17.0 %",".175",".313",".279",".349",".455",".347","108","-5.7","56.6","-88.7","18.4"
"2008","Orioles","2340","6211","172","782","750","81","8.6 %","15.9 %",".162",".296",".267",".333",".429",".333","99","-5.1","-17.0","-11.0","18.4"
"2004","Rangers","2240","6256","227","860","825","69","8.0 %","17.6 %",".191",".291",".266",".329",".457",".336","95","18.0","-25.9","1.3","18.4"
"1993","Expos","2314","6233","122","732","682","228","8.7 %","13.8 %",".129",".282",".257",".326",".386",".316","90","23.6","-53.2","16.8","18.4"
"2013","Padres","2359","6122","146","618","578","118","7.6 %","21.4 %",".133",".294",".245",".308",".378",".302","93","8.4","-40.6","29.5","18.4"
"1986","Expos","2219","6174","110","637","602","193","8.7 %","16.5 %",".124",".292",".254",".322",".379",".311","94","0.0","-45.0","22.3","18.3"
"1976","Padres","2129","6050","64","570","528","92","8.1 %","11.8 %",".090",".273",".247",".310",".337",".299","89","-0.2","-72.5","47.5","18.3"
"1983","Giants","2120","6127","142","687","638","140","10.1 %","16.2 %",".129",".276",".247",".325",".376",".315","97","-3.8","-27.1","3.4","18.3"
"1998","Reds","2270","6269","138","750","723","95","9.7 %","17.7 %",".140",".303",".262",".337",".402",".326","92","0.6","-63.1","52.5","18.3"
"1943","White Sox","1625","5905","33","573","508","173","9.5 %","9.9 %",".073",".273",".247",".322",".320",".313","91","0.5","-57.9","38.5","18.3"
"1975","Cardinals","2107","6206","81","662","619","116","7.2 %","10.4 %",".103",".294",".273",".327",".376",".320","95","5.3","-30.1","1.2","18.3"
"1999","Mariners","1915","6310","244","859","825","130","9.7 %","17.4 %",".186",".293",".269",".343",".455",".346","105","5.8","47.4","-71.7","18.3"
"1994","Cardinals","1514","4450","108","535","506","76","9.8 %","15.4 %",".151",".292",".263",".339",".414",".329","97","-5.0","-25.8","63.6","18.3"
"1922","Cubs","1746","6089","42","769","667","97","8.6 %","7.3 %",".097",".314",".293",".359",".390",".351","93","-13.2","-70.6","34.6","18.3"
"2006","Royals","2272","6229","124","757","718","65","7.6 %","16.7 %",".140",".311",".271",".332",".411",".323","92","3.0","-64.6","37.7","18.3"
"1937","Bees","1621","5731","63","578","534","45","8.5 %","12.3 %",".092",".276",".247",".314",".339",".307","85","5.9","-103.9","100.3","18.2"
"2005","Marlins","2296","6214","128","717","678","96","8.2 %","14.8 %",".137",".304",".272",".339",".409",".326","98","-7.1","-23.0","2.5","18.2"
"1985","Cubs","2243","6177","150","686","640","182","9.1 %","15.2 %",".136",".281",".254",".324",".390",".317","92","15.0","-39.5","12.8","18.2"
"1995","Dodgers","2032","5544","140","634","593","127","8.4 %","18.5 %",".136",".305",".264",".329",".400",".322","98","4.4","-11.9","11.1","18.2"
"2001","Dodgers","2084","6169","206","758","714","89","8.4 %","17.2 %",".170",".279",".255",".323",".425",".322","97","-0.7","-23.8","9.0","18.2"
"1920","Senators","1627","5938","36","724","616","160","7.3 %","9.1 %",".096",".318",".290",".351",".386",".349","98","6.6","-6.5","-18.9","18.2"
"1982","Red Sox","1674","6262","136","753","705","42","8.7 %","11.8 %",".132",".294",".274",".340",".407",".335","100","-6.9","-6.0","-17.0","18.2"
"1981","Yankees","1162","3994","100","421","403","47","9.8 %","10.9 %",".139",".261",".252",".325",".391",".327","109","-1.6","39.0","8.3","18.2"
"2004","Marlins","2223","6160","148","718","677","96","8.1 %","15.7 %",".143",".295",".264",".329",".406",".321","94","0.5","-51.1","30.1","18.2"
"1940","Giants","1713","5900","91","663","614","45","7.7 %","8.1 %",".106",".280",".267",".329",".374",".325","92","5.9","-51.4","51.2","18.2"
"1981","Reds","1399","4115","64","461","427","58","9.1 %","13.4 %",".118",".296",".267",".335",".386",".328","104","-2.0","15.0","17.1","18.2"
"2008","Yankees","2330","6257","180","789","758","118","8.6 %","16.2 %",".156",".302",".271",".342",".427",".338","104","-6.7","24.3","-56.3","18.2"
"2014","Twins","2292","6233","128","715","675","99","8.7 %","21.3 %",".135",".309",".254",".324",".389",".316","100","21.1","24.0","-59.1","18.1"
"2005","Astros","2324","6139","161","693","654","115","7.8 %","16.9 %",".152",".288",".256",".322",".408",".318","90","-0.1","-77.8","58.5","18.1"
"2005","Mets","2213","6146","175","722","683","153","7.9 %","17.5 %",".158",".290",".258",".322",".416",".320","93","21.0","-32.8","13.2","18.1"
"1975","Astros","2092","6194","84","663","606","133","8.4 %","12.2 %",".105",".279",".254",".320",".359",".311","94","3.6","-40.2","10.4","18.1"
"1978","Pirates","2025","6035","115","682","631","208","7.9 %","14.5 %",".128",".286",".257",".320",".385",".316","94","8.2","-33.2","3.6","18.1"
"1966","White Sox","2260","6016","87","574","524","153","7.9 %","14.5 %",".100",".259",".231",".297",".331",".280","86","4.2","-87.2","96.7","18.1"
"2014","Rays","2352","6205","117","612","586","63","8.5 %","18.1 %",".120",".287",".247",".317",".367",".305","97","1.3","-19.6","-15.1","18.1"
"1973","Astros","1996","6153","134","681","634","92","7.6 %","15.6 %",".124",".281",".251",".312",".376",".310","92","2.2","-58.0","37.7","18.1"
"1982","Giants","2233","6227","133","673","631","130","9.7 %","14.7 %",".122",".280",".253",".327",".376",".315","99","4.0","-4.2","-34.3","18.1"
"1934","Pirates","1710","5878","52","735","679","44","7.5 %","6.8 %",".110",".303",".287",".344",".398",".343","98","6.2","-10.9","5.5","18.1"
"1918","Pirates","1303","4667","15","466","391","200","7.9 %","6.1 %",".072",".264",".248",".315",".321",".314","92","15.6","-22.7","43.4","18.1"
"1938","Cardinals","1822","6038","91","725","680","55","6.8 %","8.1 %",".128",".293",".279",".331",".407",".339","98","8.9","-6.8","13.1","18.1"
"1961","Pirates","1904","5867","128","694","646","26","7.3 %","12.3 %",".137",".293",".273",".328",".410",".326","95","-5.2","-44.6","26.8","18.1"
"1999","Brewers","2281","6433","165","815","777","81","10.2 %","16.6 %",".153",".309",".273",".353",".426",".342","97","1.4","-28.8","11.0","18.0"
"1979","Astros","2050","6029","49","583","542","190","7.6 %","12.4 %",".088",".287",".256",".315",".344",".295","86","1.3","-98.6","73.1","18.0"
"1962","Pirates","1959","6034","108","706","655","50","7.2 %","13.8 %",".127",".296",".268",".321",".394",".317","91","-5.1","-76.7","48.1","18.0"
"1978","Giants","2083","6100","117","611","576","87","9.1 %","13.3 %",".126",".271",".248",".318",".374",".312","95","-2.2","-35.7","3.3","18.0"
"1946","Cubs","1945","6010","56","625","565","43","9.7 %","9.9 %",".093",".278",".254",".331",".347",".325","95","5.4","-27.2","19.4","18.0"
"2007","Cardinals","2440","6211","141","725","690","56","8.1 %","14.6 %",".132",".303",".274",".337",".405",".326","94","-12.7","-61.3","40.6","18.0"
"2005","White Sox","2208","6146","200","741","713","137","7.1 %","16.3 %",".163",".286",".262",".322",".425",".324","95","-1.9","-42.1","13.8","18.0"
"2008","Tigers","2267","6331","200","821","780","63","9.0 %","17.0 %",".173",".301",".271",".340",".444",".343","106","-6.7","42.3","-78.7","18.0"
"2010","Marlins","2300","6194","152","719","686","92","8.3 %","22.2 %",".149",".309",".254",".321",".403",".318","92","22.5","-36.2","16.8","18.0"
"1974","White Sox","1811","6235","135","684","633","64","8.3 %","13.8 %",".121",".293",".268",".330",".389",".330","105","-5.8","25.7","-59.6","18.0"
"1921","Pirates","1578","5946","37","692","623","134","5.7 %","6.2 %",".102",".301",".285",".330",".387",".332","88","2.5","-86.5","63.3","17.9"
"1939","Dodgers","1815","6047","78","708","653","59","9.3 %","10.6 %",".115",".290",".265",".338",".380",".335","90","9.3","-66.0","61.2","17.9"
"1990","Indians","1684","6087","110","732","675","107","7.5 %","13.7 %",".124",".295",".267",".324",".391",".320","97","-1.5","-19.0","-0.3","17.9"
"1994","Braves","1531","4349","137","542","510","48","8.7 %","15.4 %",".167",".290",".267",".333",".434",".333","97","-3.9","-21.5","59.4","17.9"
"1993","Indians","1781","6267","141","790","747","159","7.8 %","13.5 %",".133",".299",".275",".335",".409",".329","99","10.3","1.3","-21.4","17.9"
"1962","Red Sox","1880","6177","146","707","671","39","8.5 %","14.9 %",".145",".285",".258",".324",".403",".324","90","-4.9","-78.5","76.4","17.9"
"1973","Cardinals","2119","6177","75","643","592","100","8.6 %","12.9 %",".098",".288",".259",".325",".357",".308","89","4.8","-76.8","55.4","17.9"
"1924","Indians","1779","6026","41","756","682","85","8.1 %","6.0 %",".104",".314",".298",".362",".402",".359","96","8.0","-27.0","-3.3","17.9"
"1961","Cardinals","2053","5937","103","703","657","46","8.3 %","12.5 %",".122",".296",".271",".334",".393",".323","86","-0.2","-102.9","81.6","17.9"
"1982","Braves","2154","6231","146","738","687","151","8.9 %","13.9 %",".127",".279",".256",".325",".383",".317","94","-0.1","-42.2","3.7","17.9"
"1981","Expos","1402","4068","81","443","407","138","9.0 %","12.2 %",".124",".264",".246",".316",".370",".311","93","12.9","-16.9","51.4","17.9"
"1981","Red Sox","1113","4281","90","519","492","32","8.8 %","12.1 %",".124",".297",".275",".340",".399",".338","110","-4.9","39.4","-5.2","17.9"
"1936","Bees","1659","6033","67","630","594","23","7.2 %","9.6 %",".091",".287",".265",".322",".356",".318","91","2.0","-71.2","56.4","17.9"
"2009","Tigers","2350","6234","183","743","718","72","8.7 %","17.9 %",".156",".294",".260",".331",".416",".328","94","0.4","-48.5","13.9","17.9"
"1997","Expos","2215","6131","172","691","659","75","6.9 %","17.7 %",".167",".290",".258",".316",".425",".323","91","-4.4","-78.2","64.2","17.9"
"2014","Mets","2294","6145","125","629","602","101","8.4 %","20.6 %",".126",".286",".239",".308",".364",".299","92","-1.1","-56.7","36.9","17.8"
"1982","White Sox","1871","6242","136","786","747","136","8.5 %","13.9 %",".140",".300",".273",".337",".413",".334","104","4.4","34.6","-63.1","17.8"
"1952","White Sox","1950","6034","80","610","560","61","9.0 %","8.6 %",".097",".267",".252",".327",".349",".319","89","3.3","-72.5","52.3","17.8"
"1940","White Sox","1598","5999","73","734","671","52","8.3 %","9.5 %",".108",".300",".278",".340",".387",".335","89","-18.3","-107.0","71.3","17.8"
"1987","Brewers","1694","6370","163","862","832","176","9.4 %","16.3 %",".152",".311",".276",".346",".428",".338","103","0.9","25.3","-61.3","17.8"
"1974","Phillies","2065","6121","95","676","636","115","7.7 %","13.4 %",".113",".290",".261",".320",".374",".315","90","2.4","-70.0","44.8","17.8"
"1974","Indians","1823","6019","131","661","616","79","7.2 %","12.6 %",".115",".274",".255",".311",".370",".313","95","-9.0","-41.9","19.4","17.8"
"2001","Angels","1824","6226","158","691","662","116","7.9 %","16.1 %",".144",".290",".261",".327",".405",".318","93","0.3","-57.5","22.4","17.8"
"1934","Braves","1697","5854","83","683","649","30","6.4 %","7.5 %",".106",".284",".272",".323",".378",".324","93","3.5","-51.8","42.0","17.8"
"2015","Angels","2459","5990","176","661","621","52","7.3 %","19.2 %",".150",".280",".246",".307",".396",".305","96","-0.1","-29.3","0.5","17.8"
"1948","Cardinals","1935","5989","105","741","680","24","9.9 %","8.7 %",".126",".276",".263",".340",".390",".343","94","2.2","-44.2","25.2","17.7"
"1981","Phillies","1480","4143","69","491","453","103","9.0 %","10.4 %",".115",".291",".273",".341",".389",".332","107","3.7","34.8","-10.2","17.7"
"1936","Reds","1849","5904","82","722","674","68","6.9 %","9.9 %",".114",".295",".274",".329",".388",".332","94","11.1","-31.5","23.1","17.7"
"1939","Senators","1656","6026","44","702","647","94","9.1 %","7.6 %",".101",".298",".278",".346",".379",".339","90","-4.4","-87.1","48.7","17.7"
"1967","Astros","2020","6172","93","626","580","88","8.7 %","15.1 %",".115",".283",".249",".317",".364",".305","97","7.1","-10.6","-47.5","17.7"
"1969","Cardinals","1924","6152","90","595","561","87","8.2 %","14.2 %",".106",".285",".253",".316",".359",".306","89","1.0","-78.9","34.5","17.7"
"2001","Padres","2259","6278","161","789","753","129","10.8 %","20.3 %",".147",".297",".252",".336",".399",".321","97","6.4","-16.6","-7.1","17.7"
"1927","Reds","1688","5827","29","643","575","62","6.9 %","5.7 %",".089",".292",".278",".332",".367",".328","90","8.4","-64.9","57.0","17.7"
"2007","Devil Rays","2229","6280","187","782","750","131","8.7 %","21.1 %",".165",".318",".268",".336",".433",".335","103","8.4","29.5","-66.0","17.6"
"2002","Mets","2389","6150","160","690","650","87","7.9 %","17.0 %",".139",".289",".256",".322",".395",".314","91","-6.1","-73.1","49.4","17.6"
"1999","Padres","2305","6136","153","710","671","174","10.3 %","19.1 %",".141",".294",".252",".332",".393",".322","90","4.5","-77.1","61.1","17.6"
"1989","Expos","2172","6196","100","631","585","159","9.2 %","15.4 %",".114",".280",".247",".319",".361",".307","95","2.3","-33.5","4.1","17.6"
"1996","Athletics","1834","6402","243","861","823","58","10.0 %","17.4 %",".187",".290",".265",".344",".452",".347","103","-5.7","20.4","-73.0","17.6"
"1923","White Sox","1683","6042","42","690","604","191","8.8 %","7.5 %",".095",".300",".279",".350",".374",".343","93","2.2","-57.6","39.4","17.6"
"1986","Reds","2192","6243","144","732","670","177","9.4 %","14.7 %",".134",".279",".254",".325",".387",".317","92","13.7","-43.8","11.5","17.6"
"1957","Pirates","2022","5942","92","586","551","46","6.3 %","12.3 %",".116",".293",".268",".315",".384",".310","88","-0.6","-85.2","80.7","17.6"
"1966","Yankees","1986","5936","162","611","569","49","8.2 %","13.8 %",".139",".249",".235",".299",".374",".299","94","1.5","-35.1","36.3","17.6"
"1943","Tigers","1733","5979","77","632","572","40","8.1 %","9.2 %",".098",".280",".261",".324",".359",".329","94","-10.1","-50.9","20.6","17.6"
"1996","Rockies","2319","6333","221","961","909","201","8.3 %","17.5 %",".185",".321",".287",".355",".472",".358","93","8.9","-45.4","35.7","17.6"
"2003","Devil Rays","2223","6212","137","715","678","142","6.8 %","16.6 %",".139",".301",".265",".320",".404",".314","90","13.2","-65.7","30.0","17.6"
"1965","Phillies","2130","6172","144","654","608","46","8.0 %","17.7 %",".134",".285",".250",".313",".384",".310","96","-2.6","-33.3","-5.3","17.6"
"1967","White Sox","2214","5916","87","529","479","124","7.9 %","14.2 %",".096",".252",".226",".291",".322",".278","84","-1.5","-101.5","109.8","17.6"
"1995","Braves","1932","5464","168","645","618","73","9.5 %","17.1 %",".160",".276",".250",".326",".409",".324","92","-5.4","-63.3","56.8","17.6"
"2016","Rays","1800","6046","216","672","647","60","7.4 %","24.5 %",".182",".293",".243",".307",".426",".315","98","-0.1","-11.5","-22.7","17.6"
"2009","Rangers","2158","6127","224","784","748","149","7.7 %","20.5 %",".185",".296",".260",".320",".445",".331","92","9.1","-49.8","15.7","17.5"
"1998","Mets","2278","6257","136","706","671","62","9.1 %","16.8 %",".135",".295",".259",".330",".394",".318","93","-7.7","-65.0","47.1","17.5"
"1952","Cubs","1813","5834","107","628","595","50","7.2 %","12.2 %",".119",".288",".264",".321",".383",".327","90","-0.2","-66.9","41.2","17.5"
"1991","Cubs","2291","6130","159","695","654","123","7.2 %","14.3 %",".138",".272",".253",".309",".390",".313","90","-0.9","-68.1","38.5","17.5"
"1965","Cardinals","2084","6204","109","707","645","100","7.7 %","14.2 %",".117",".282",".254",".314",".371",".306","85","0.8","-103.5","70.9","17.5"
"1934","Senators","1765","6166","51","729","680","47","9.2 %","7.2 %",".105",".295",".278",".348",".382",".341","91","-12.0","-85.6","45.1","17.5"
"2009","Reds","2314","6187","158","673","637","96","8.6 %","18.2 %",".147",".282",".247",".318",".394",".313","84","5.2","-118.5","94.3","17.4"
"2005","Yankees","2319","6406","229","886","847","84","9.9 %","15.4 %",".174",".297",".276",".355",".450",".350","116","-3.4","118.5","-160.9","17.4"
"1959","Dodgers","2011","6027","148","704","666","84","9.8 %","14.8 %",".139",".284",".258",".334",".396",".325","90","-1.6","-75.1","35.8","17.4"
"1990","Expos","2246","6184","114","661","607","235","9.3 %","16.5 %",".120",".286",".250",".322",".370",".311","90","5.6","-65.8","16.9","17.4"
"1962","Orioles","2092","6157","156","652","617","45","8.4 %","15.1 %",".139",".271",".248",".314",".387",".313","91","-3.3","-71.3","64.6","17.4"
"1962","Angels","2152","6255","137","718","667","46","9.6 %","14.7 %",".130",".276",".250",".325",".380",".317","95","-1.0","-43.6","33.2","17.4"
"1952","Athletics","1760","5975","89","664","632","52","11.4 %","9.3 %",".106",".269",".253",".343",".359",".332","94","-0.2","-45.4","20.6","17.4"
"1924","White Sox","1704","6116","41","794","710","137","9.9 %","6.8 %",".095",".308",".289",".366",".383",".355","98","5.4","-14.5","-24.0","17.4"
"1981","Astros","1400","4156","45","394","369","81","8.2 %","11.7 %",".099",".283",".257",".318",".356",".306","97","0.4","-13.3","39.0","17.4"
"1997","Rangers","1921","6266","187","807","773","72","8.0 %","17.8 %",".164",".309",".274",".334",".438",".337","95","-1.1","-42.2","-1.2","17.3"
"1944","Tigers","1667","6010","60","658","591","61","8.9 %","8.3 %",".091",".281",".263",".332",".354",".328","91","-12.4","-70.8","39.5","17.3"
"2004","Mariners","2280","6362","136","698","658","110","7.7 %","16.6 %",".127",".308",".270",".331",".396",".317","93","-6.4","-65.3","26.1","17.3"
"1935","Senators","1745","6302","32","823","762","54","9.5 %","6.5 %",".097",".303",".285",".358",".381",".345","96","-7.8","-46.8","12.8","17.3"
"2001","Yankees","1867","6233","203","804","774","161","8.3 %","16.6 %",".168",".293",".267",".334",".435",".332","103","9.3","35.8","-73.8","17.3"
"1957","Dodgers","1851","5943","147","690","648","60","9.3 %","14.3 %",".135",".275",".253",".325",".387",".318","88","2.8","-81.1","73.1","17.3"
"1938","Tigers","1675","6058","137","861","804","76","11.4 %","9.5 %",".139",".285",".272",".359",".412",".358","90","-5.3","-96.8","43.2","17.3"
"1944","Cubs","1829","6108","71","700","639","53","8.5 %","8.5 %",".099",".278",".261",".328",".360",".327","96","7.2","-23.7","-1.0","17.3"
"1930","Pirates","1646","6058","86","891","844","76","8.2 %","7.4 %",".146",".319",".303",".365",".449",".365","95","14.7","-34.9","16.0","17.3"
"1947","Pirates","1864","6006","156","744","699","30","10.1 %","11.4 %",".145",".275",".261",".339",".407",".349","94","4.9","-42.1","8.4","17.2"
"1999","Cardinals","2275","6354","194","809","763","134","9.6 %","18.9 %",".163",".300",".262",".338",".426",".334","92","5.2","-64.6","38.5","17.2"
"2004","Twins","2318","6286","191","780","735","116","8.2 %","15.6 %",".166",".290",".266",".332",".431",".330","97","5.5","-22.3","-15.6","17.2"
"1937","Cardinals","1740","5966","94","789","731","78","6.5 %","9.5 %",".124",".301",".282",".331",".406",".338","95","12.4","-23.2","4.7","17.2"
"1997","White Sox","2014","6201","158","779","740","106","9.2 %","14.5 %",".144",".298",".273",".341",".417",".334","100","-0.8","1.2","-43.1","17.2"
"2007","Athletics","2220","6365","171","741","711","52","10.4 %","17.6 %",".151",".290",".256",".338",".407",".328","99","-7.0","-12.1","-32.1","17.2"
"2002","Cubs","2294","6244","200","707","676","63","9.4 %","20.3 %",".167",".283",".246",".321",".413",".320","93","-7.0","-59.0","27.5","17.2"
"1969","Cubs","2047","6235","142","720","671","30","9.0 %","14.9 %",".131",".279",".253",".324",".384",".320","90","-3.9","-77.2","24.7","17.2"
"1970","Cubs","1950","6225","179","806","761","39","9.8 %","13.5 %",".155",".276",".259",".333",".415",".333","90","3.4","-77.2","30.1","17.2"
"1984","Indians","1833","6375","123","761","704","126","9.4 %","12.8 %",".119",".288",".265",".335",".384",".325","99","-5.6","-12.9","-25.8","17.1"
"2006","Orioles","2295","6240","164","768","727","121","7.6 %","14.1 %",".146",".302",".277",".339",".424",".331","96","-4.5","-36.4","-2.7","17.1"
"2008","Angels","2229","6155","159","765","721","129","7.8 %","16.0 %",".145",".299",".268",".330",".413",".324","96","-1.0","-30.9","-7.9","17.1"
"1986","Orioles","1806","6203","169","708","669","64","9.1 %","13.9 %",".137",".276",".258",".327",".395",".323","99","-1.3","-11.0","-28.8","17.1"
"1985","Mariners","1730","6181","171","719","686","94","9.1 %","15.2 %",".157",".279",".256",".326",".413",".328","100","3.0","5.3","-43.4","17.1"
"1984","Pirates","2030","6104","98","613","586","96","7.1 %","13.7 %",".108",".283",".255",".309",".363",".302","86","-5.6","-101.9","66.3","17.1"
"1935","Dodgers","1779","5937","59","711","666","60","7.2 %","8.8 %",".099",".297",".277",".333",".376",".329","90","10.1","-62.7","34.2","17.1"
"1978","Angels","1706","6206","108","691","646","86","8.7 %","11.0 %",".111",".276",".259",".330",".370",".319","102","-8.5","4.3","-45.7","17.1"
"2011","Padres","2355","6074","91","593","563","170","8.2 %","21.7 %",".112",".294",".237",".305",".349",".290","86","18.2","-77.3","50.0","17.1"
"1993","Red Sox","1830","6196","114","686","644","73","8.2 %","14.1 %",".131",".293",".264",".330",".395",".322","90","0.1","-76.6","50.8","17.1"
"2000","Royals","1875","6394","150","879","831","121","8.0 %","13.1 %",".138",".312",".288",".348",".425",".338","89","8.9","-82.8","33.1","17.1"
"1977","Padres","2313","6355","120","692","652","133","9.5 %","16.6 %",".126",".287",".249",".324",".375",".312","93","8.1","-45.1","5.9","17.1"
"1978","Astros","2110","6035","70","605","557","178","7.2 %","12.3 %",".097",".285",".258",".313",".355",".301","93","13.7","-33.0","-6.9","17.1"
"1933","Tigers","1729","6090","57","722","676","68","7.8 %","8.7 %",".111",".289",".269",".329",".380",".331","87","-8.0","-112.7","63.9","17.0"
"2006","Angels","2264","6221","159","766","737","148","7.8 %","14.7 %",".150",".301",".274",".334",".425",".327","95","11.3","-27.4","-12.1","17.0"
"1972","Tigers","1982","5714","122","558","531","17","8.5 %","13.8 %",".120",".257",".237",".305",".356",".302","93","-3.0","-44.3","37.2","17.0"
"1936","Cardinals","1854","6065","88","795","733","69","7.3 %","9.5 %",".129",".301",".281",".336",".410",".343","95","11.3","-27.9","7.4","17.0"
"1998","Padres","2282","6245","167","749","715","79","9.7 %","17.2 %",".155",".285",".253",".330",".409",".325","99","-0.4","-7.6","-14.5","17.0"
