"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2011","Tigers","95","67","52","583","162","1440.0","711","6.97","3.08","0.93",".292","71.2 %","44.5 %","9.3 %","4.04","3.96","4.00","16.0"
"2007","Cubs","85","77","39","640","162","1446.2","690","7.53","3.56","1.03",".281","73.6 %","41.3 %","9.6 %","4.04","4.36","4.36","17.7"
"1982","Red Sox","89","73","33","376","162","1453.0","713","5.05","2.96","0.96",".294","73.2 %","","","4.04","4.04","","14.7"
"1923","White Sox","69","85","11","282","156","1397.0","740","3.01","3.44","0.32",".288","66.7 %","","","4.05","3.95","","13.7"
"1922","Robins","76","78","8","270","155","1385.2","752","3.24","3.18","0.48",".301","67.5 %","","","4.05","4.12","","12.4"
"1991","Cubs","77","83","40","520","160","1456.2","734","5.73","3.35","0.72",".282","68.7 %","","","4.05","3.80","","15.1"
"1943","Athletics","49","105","13","262","155","1394.0","717","3.25","3.46","0.47",".276","67.5 %","","","4.05","3.60","","10.2"
"1975","Astros","64","97","25","427","162","1458.1","711","5.18","4.19","0.65",".284","71.9 %","","","4.05","3.85","","6.5"
"1981","Phillies","59","48","23","291","107","960.1","472","5.44","3.25","0.67",".291","69.8 %","","","4.05","3.49","","9.4"
"1935","Red Sox","78","75","11","292","154","1376.0","732","3.07","3.40","0.44",".291","67.5 %","","","4.05","4.18","","19.9"
"2011","Pirates","72","90","43","711","162","1449.1","712","6.40","3.32","0.94",".300","73.7 %","45.6 %","9.8 %","4.05","4.20","4.18","5.8"
"1993","Mets","59","103","22","459","162","1438.0","744","5.43","2.72","0.87",".288","69.0 %","","","4.05","4.05","","14.1"
"2015","Diamondbacks","79","83","44","712","162","1466.2","713","7.46","3.07","1.12",".294","73.7 %","45.7 %","12.3 %","4.05","4.21","4.09","8.6"
"2016","Marlins","79","82","55","720","161","1435.0","682","8.65","3.73","0.95",".303","74.0 %","43.0 %","10.9 %","4.05","3.97","4.21","14.2"
"2015","Orioles","81","81","43","615","162","1434.2","693","7.73","3.03","1.09",".298","73.6 %","45.2 %","12.0 %","4.05","4.11","4.04","15.2"
"1977","Athletics","63","98","26","410","161","1436.2","749","4.94","3.51","0.91",".280","70.3 %","","","4.05","4.17","","11.7"
"1929","Indians","81","71","10","254","152","1352.0","738","2.59","3.25","0.37",".300","67.1 %","","","4.05","4.27","","17.7"
"2004","Astros","92","70","47","655","162","1443.0","698","8.00","3.27","1.09",".299","74.3 %","44.2 %","11.9 %","4.05","4.07","3.95","20.7"
"1957","Indians","76","77","23","357","153","1380.2","722","5.26","4.03","0.85",".279","71.0 %","","","4.05","3.95","","11.1"
"2007","Indians","96","66","49","557","162","1462.2","704","6.44","2.52","0.90",".302","71.9 %","45.3 %","8.7 %","4.05","4.06","4.21","20.5"
"2000","Braves","95","67","53","538","162","1440.1","714","6.83","3.02","1.03",".288","71.9 %","","","4.06","4.19","","22.3"
"1970","Cardinals","76","86","20","440","162","1475.2","747","5.85","3.85","0.62",".293","69.7 %","","","4.06","3.57","","20.9"
"2010","Yankees","95","67","39","592","162","1442.1","693","7.20","3.37","1.12",".281","74.0 %","43.9 %","10.7 %","4.06","4.34","4.15","14.6"
"1978","Cubs","79","83","38","489","162","1455.1","724","4.75","3.33","0.77",".281","70.7 %","","","4.06","3.83","","13.2"
"1961","White Sox","86","76","33","423","163","1448.2","726","5.06","3.09","0.98",".280","71.6 %","","","4.06","3.92","","14.4"
"1934","Tigers","101","53","14","282","154","1370.2","708","4.20","3.20","0.56",".293","68.2 %","","","4.06","4.10","","17.9"
"2003","Phillies","86","76","33","599","162","1443.2","697","6.61","3.34","0.89",".284","72.3 %","45.3 %","9.7 %","4.06","4.12","4.32","16.6"
"1985","Red Sox","81","81","29","365","163","1461.1","720","5.62","3.33","0.80",".291","71.4 %","","","4.06","3.77","","18.6"
"1965","Mets","50","112","14","465","164","1454.2","752","4.80","3.08","0.91",".276","69.7 %","","","4.06","3.89","","4.9"
"1945","Giants","78","74","21","333","154","1374.2","700","3.47","3.47","0.56",".273","68.4 %","","","4.06","3.78","","12.8"
"1956","Tigers","82","72","15","342","155","1379.0","699","5.14","4.27","0.91",".280","73.4 %","","","4.06","4.07","","13.6"
"2005","Blue Jays","80","82","35","594","162","1447.0","705","5.96","2.76","1.15",".286","74.2 %","45.7 %","11.7 %","4.06","4.42","4.26","14.0"
"1995","Astros","76","68","32","538","144","1320.1","674","7.20","3.14","0.80",".308","70.1 %","","","4.06","3.82","","14.9"
"1984","Brewers","67","94","41","444","161","1433.0","734","4.93","3.01","0.86",".292","70.6 %","","","4.06","3.97","","12.7"
"2016","Astros","84","78","44","662","162","1468.0","701","8.56","2.78","1.11",".306","73.4 %","45.2 %","12.6 %","4.06","3.85","3.87","20.1"
"1939","Giants","77","74","20","314","151","1319.0","682","3.45","3.25","0.59",".284","68.7 %","","","4.07","4.20","","11.6"
"1975","Twins","76","83","22","322","159","1423.0","736","5.35","3.90","0.87",".276","70.5 %","","","4.07","4.03","","11.0"
"1985","White Sox","85","77","39","468","163","1451.2","720","6.34","3.53","1.00",".282","72.4 %","","","4.07","3.97","","17.2"
"1938","Dodgers","69","80","14","306","151","1332.0","707","3.17","3.01","0.59",".288","67.9 %","","","4.07","4.15","","12.9"
"1989","Phillies","67","95","33","511","163","1433.1","735","5.64","3.85","0.80",".283","70.3 %","","","4.07","4.01","","7.3"
"1990","Orioles","76","85","43","518","161","1435.1","698","4.87","3.37","1.01",".276","73.3 %","","","4.07","4.34","","7.4"
"2002","Mariners","93","69","43","505","162","1445.1","699","6.62","2.75","1.11",".284","73.0 %","40.2 %","10.3 %","4.07","4.11","4.16","18.3"
"1988","Rangers","70","91","31","412","161","1438.2","735","5.71","4.09","0.81",".267","69.9 %","","","4.07","4.15","","10.9"
"2015","Twins","83","79","45","682","162","1443.0","700","6.52","2.58","1.02",".300","72.8 %","44.0 %","10.4 %","4.07","4.10","4.23","14.1"
"2008","Mets","89","73","43","719","162","1464.1","715","7.26","3.63","1.00",".289","73.6 %","43.1 %","10.5 %","4.07","4.32","4.26","13.6"
"1990","Giants","85","77","45","497","162","1446.1","710","4.90","3.44","0.82",".284","71.8 %","","","4.08","4.09","","7.8"
"1983","Cubs","71","91","42","531","162","1428.2","719","5.08","3.14","0.74",".296","70.1 %","","","4.08","3.79","","16.0"
"1948","Phillies","66","88","15","317","155","1362.1","727","3.65","3.71","0.63",".281","67.5 %","","","4.08","4.03","","12.4"
"2016","Cardinals","86","76","38","643","162","1448.1","712","8.02","2.95","0.99",".304","71.8 %","49.5 %","12.8 %","4.08","3.88","3.88","17.5"
"1929","Browns","79","73","10","271","154","1371.0","713","2.72","3.03","0.66",".279","68.3 %","","","4.08","4.55","","14.7"
"2001","Mets","82","80","48","559","162","1445.2","713","7.41","2.73","1.16",".290","72.4 %","","","4.08","4.07","","17.2"
"1986","Blue Jays","86","76","44","453","163","1476.0","733","6.11","2.97","1.00",".285","71.6 %","","","4.08","3.94","","19.3"
"1964","Cubs","76","86","19","417","162","1445.0","724","4.59","2.63","0.90",".283","70.1 %","","","4.08","3.79","","10.8"
"1994","Padres","47","70","27","390","117","1045.2","531","7.42","3.38","0.85",".291","69.5 %","","","4.08","3.91","","15.4"
"1966","Reds","76","84","35","430","160","1436.0","702","6.54","3.07","0.96",".286","71.8 %","","","4.08","3.60","","16.5"
"1982","Royals","90","72","45","390","162","1431.0","717","4.09","2.96","1.03",".267","71.5 %","","","4.08","4.33","","7.7"
"1939","Indians","87","67","13","296","154","1364.2","700","4.05","3.97","0.49",".282","68.8 %","","","4.08","4.15","","16.5"
"1923","Athletics","69","83","12","284","153","1364.2","760","2.64","3.63","0.45",".281","65.8 %","","","4.08","4.25","","11.4"
"1943","Giants","55","98","19","364","156","1394.2","710","3.79","4.04","0.52",".287","70.2 %","","","4.08","3.70","","7.0"
"1923","Tigers","83","71","12","318","155","1373.2","741","2.93","2.94","0.38",".289","65.7 %","","","4.09","3.93","","13.3"
"2010","Astros","76","86","45","669","162","1439.1","729","7.57","3.43","0.88",".305","71.0 %","44.3 %","8.8 %","4.09","3.89","3.97","16.0"
"1977","Indians","71","90","30","391","161","1452.1","739","5.43","3.41","0.84",".282","70.0 %","","","4.09","3.94","","18.5"
"1970","Tigers","79","83","39","450","162","1447.1","731","6.50","3.87","0.95",".289","72.6 %","","","4.09","3.93","","15.8"
"2012","Mets","74","88","36","667","162","1434.0","709","7.78","3.06","1.01",".290","71.1 %","42.6 %","10.5 %","4.09","3.93","4.04","15.3"
"2010","Marlins","80","82","39","643","162","1438.1","717","7.31","3.44","0.84",".301","71.3 %","43.6 %","8.1 %","4.09","3.92","4.11","14.6"
"2015","Padres","74","88","41","678","162","1440.1","731","8.70","3.22","1.07",".303","71.1 %","46.9 %","13.3 %","4.09","3.93","3.71","12.6"
"1990","Phillies","77","85","35","536","162","1449.0","729","5.22","4.04","0.77",".272","70.6 %","","","4.09","4.17","","7.8"
"2006","Astros","82","80","42","659","162","1468.2","719","7.11","2.94","1.12",".286","72.8 %","45.2 %","11.6 %","4.09","4.27","4.16","19.2"
"2010","White Sox","88","74","43","569","162","1446.1","704","7.15","3.05","0.85",".305","71.5 %","44.9 %","8.4 %","4.09","3.80","3.94","24.2"
"1988","Braves","54","106","25","478","160","1446.0","741","5.04","3.26","0.67",".288","68.9 %","","","4.10","3.80","","11.0"
"1995","Cardinals","62","81","38","520","143","1265.2","658","5.99","3.16","0.96",".292","70.4 %","","","4.10","4.31","","9.3"
"2004","Marlins","83","79","53","566","162","1439.0","700","6.98","3.21","1.04",".288","72.9 %","43.7 %","10.7 %","4.10","4.17","4.21","16.6"
"2003","Braves","101","61","51","651","162","1456.1","740","6.13","3.43","0.91",".283","70.6 %","47.6 %","11.0 %","4.10","4.21","4.24","15.2"
"2016","Brewers","73","89","46","675","162","1434.1","733","7.37","3.34","1.12",".300","73.1 %","46.0 %","12.4 %","4.10","4.37","4.42","13.3"
"1992","Rangers","77","85","42","521","162","1460.1","753","6.37","3.69","0.70",".300","69.6 %","","","4.10","3.70","","18.3"
"1978","Braves","69","93","32","455","162","1440.1","750","5.30","3.90","0.82",".276","70.0 %","","","4.10","3.99","","12.0"
"2011","White Sox","79","83","42","572","162","1460.0","706","7.52","2.71","0.91",".303","71.3 %","44.2 %","9.4 %","4.10","3.66","3.69","24.5"
"2004","Mets","71","91","31","636","162","1449.0","731","6.07","3.68","0.97",".284","72.7 %","45.7 %","9.9 %","4.10","4.43","4.57","12.3"
"1953","Dodgers","105","49","29","367","155","1380.2","689","5.33","3.32","1.10",".268","72.2 %","","","4.10","4.14","","15.0"
"1993","Cardinals","87","75","54","584","162","1453.0","744","4.80","2.37","0.94",".289","69.9 %","","","4.10","4.16","","10.9"
"1947","Cubs","69","85","15","371","155","1367.0","722","3.76","4.07","0.70",".285","70.4 %","","","4.10","4.07","","9.0"
"2012","Marlins","69","93","38","645","162","1440.2","724","6.95","3.09","0.83",".300","70.3 %","45.0 %","9.2 %","4.10","3.89","4.17","12.2"
"2000","Dodgers","86","76","36","533","162","1445.0","729","7.19","3.74","1.10",".283","73.3 %","","","4.10","4.52","","16.5"
"2008","White Sox","89","74","34","626","163","1457.2","729","7.08","2.84","0.96",".298","71.0 %","45.5 %","10.0 %","4.11","4.00","4.01","23.7"
"1995","Expos","66","78","42","540","144","1283.2","638","6.66","2.92","0.90",".294","71.0 %","","","4.11","4.03","","14.6"
"1986","Yankees","90","72","58","451","162","1443.1","738","5.47","3.07","1.09",".279","71.5 %","","","4.11","4.20","","13.0"
"2007","Braves","84","78","36","690","162","1456.1","733","6.83","3.32","1.06",".288","72.4 %","45.3 %","10.8 %","4.11","4.45","4.29","13.1"
"1934","Braves","78","73","20","290","152","1359.2","714","3.06","2.68","0.52",".289","66.9 %","","","4.11","4.12","","8.1"
"1990","Brewers","74","88","42","502","162","1445.0","760","4.80","2.92","0.75",".294","68.8 %","","","4.11","3.88","","13.6"
"1986","Rangers","87","75","41","490","162","1450.1","743","6.57","4.57","0.90",".280","72.0 %","","","4.11","4.22","","12.7"
"1992","Indians","76","86","46","541","162","1470.0","746","5.45","3.47","0.97",".288","72.2 %","","","4.11","4.20","","9.7"
"1964","Braves","88","74","39","430","162","1434.2","744","5.68","2.84","1.00",".276","68.8 %","","","4.12","3.79","","5.3"
"1932","Indians","87","65","8","245","153","1377.1","744","2.87","2.91","0.46",".283","65.4 %","","","4.12","4.04","","22.0"
"1958","Cardinals","72","82","25","394","154","1381.2","704","5.35","3.69","1.03",".280","73.0 %","","","4.12","4.09","","13.0"
"1952","Browns","64","90","18","336","155","1399.0","733","3.74","3.85","0.71",".269","69.1 %","","","4.12","3.96","","12.8"
"2016","White Sox","78","84","43","643","162","1446.2","715","7.90","3.24","1.15",".298","74.0 %","43.1 %","12.0 %","4.12","4.27","4.38","16.6"
"1982","Indians","78","84","30","383","162","1468.1","748","5.41","3.61","0.75",".279","69.2 %","","","4.12","3.84","","20.4"
"1942","Phillies","42","109","6","335","151","1341.0","703","3.17","4.06","0.41",".271","67.0 %","","","4.12","3.72","","7.2"
"1983","Blue Jays","89","73","32","419","162","1445.1","726","5.20","3.22","0.90",".278","70.8 %","","","4.12","4.06","","14.1"
"1971","Expos","71","90","25","377","162","1434.1","729","5.20","4.13","0.83",".280","71.7 %","","","4.12","3.94","","5.7"
"1963","Mets","51","111","12","395","162","1427.2","774","5.08","3.33","1.02",".277","69.6 %","","","4.12","4.04","","3.1"
"2002","Twins","94","67","47","596","161","1444.2","712","6.39","2.73","1.15",".286","73.0 %","38.2 %","10.0 %","4.12","4.20","4.31","16.2"
"1950","Tigers","95","59","20","310","157","1407.1","713","3.68","3.54","0.90",".273","71.8 %","","","4.12","4.31","","16.6"
"1937","Dodgers","62","91","8","315","155","1362.2","772","3.91","3.14","0.45",".292","63.8 %","","","4.13","3.91","","15.2"
"1992","Phillies","70","92","34","485","162","1428.0","717","5.36","3.46","0.71",".279","69.0 %","","","4.13","3.83","","7.5"
"1995","Cubs","73","71","45","558","144","1301.0","671","6.41","3.58","1.12",".286","72.9 %","","","4.13","4.57","","8.8"
"1957","Cubs","62","92","26","419","156","1403.1","722","5.51","3.85","0.92",".280","71.5 %","","","4.13","3.92","","11.8"
"2005","Padres","82","80","45","618","162","1455.1","726","7.01","3.11","0.90",".295","71.0 %","43.0 %","9.2 %","4.13","3.90","4.10","17.4"
"1988","White Sox","71","90","43","454","161","1440.0","757","4.71","3.33","0.86",".280","69.4 %","","","4.13","4.15","","7.9"
"1977","Tigers","74","88","23","360","162","1457.0","751","4.84","2.90","1.00",".284","70.8 %","","","4.13","4.12","","16.1"
"1979","White Sox","73","86","37","395","159","1409.0","748","4.31","3.95","0.73",".268","68.4 %","","","4.13","4.23","","12.5"
"2010","Nationals","69","93","37","656","162","1435.0","742","6.70","3.21","0.95",".297","70.8 %","44.5 %","9.4 %","4.13","4.12","4.13","12.1"
"1969","Reds","89","73","44","470","163","1465.0","768","5.03","3.75","0.92",".277","71.1 %","","","4.13","4.08","","7.5"
"2007","Diamondbacks","90","72","51","631","162","1441.0","732","6.80","3.41","1.06",".293","72.7 %","43.9 %","10.3 %","4.13","4.52","4.42","16.0"
"1997","Expos","78","84","37","552","162","1447.0","740","7.08","3.46","0.93",".284","70.1 %","","","4.14","4.16","","14.6"
"1951","Red Sox","87","67","24","364","154","1399.0","725","4.23","3.85","0.64",".281","69.3 %","","","4.14","3.82","","21.4"
"1990","Twins","74","88","43","472","162","1435.2","729","5.47","3.07","0.84",".298","70.5 %","","","4.14","3.89","","14.4"
"1927","Tigers","82","71","17","287","156","1387.2","805","2.73","3.74","0.34",".294","65.0 %","","","4.14","4.25","","12.1"
"2010","Rockies","83","79","35","675","162","1442.0","717","7.70","3.28","0.87",".302","70.8 %","46.5 %","9.6 %","4.14","3.83","3.80","20.9"
"1950","Braves","83","71","10","291","156","1385.1","736","4.00","3.60","0.84",".273","69.4 %","","","4.14","4.17","","12.3"
"1984","White Sox","74","88","32","400","162","1454.1","736","5.20","2.99","0.96",".272","69.8 %","","","4.14","4.07","","14.2"
"1919","Phillies","47","90","2","195","138","1252.0","699","2.85","2.93","0.29",".301","64.0 %","","","4.14","3.35","","11.0"
"1962","Indians","80","82","31","404","162","1441.0","745","4.87","3.71","1.09",".268","72.0 %","","","4.14","4.41","","8.4"
"2014","Astros","70","92","31","600","162","1438.2","723","7.11","3.03","0.87",".299","70.3 %","46.4 %","9.6 %","4.14","3.93","3.91","10.9"
"1961","Indians","78","83","23","389","161","1443.1","752","4.99","3.74","1.11",".268","72.2 %","","","4.15","4.38","","7.1"
"1948","Pirates","83","71","19","322","156","1371.2","701","3.41","3.70","0.79",".266","70.3 %","","","4.15","4.32","","12.2"
"1995","Padres","70","74","35","481","144","1284.2","672","7.33","3.59","0.99",".291","70.5 %","","","4.15","4.22","","12.3"
"1924","Cardinals","65","89","6","273","154","1364.2","750","2.59","3.21","0.46",".294","66.7 %","","","4.15","4.29","","8.2"
"1993","Marlins","64","98","48","571","162","1440.1","724","5.90","3.74","0.84",".286","71.5 %","","","4.15","4.21","","11.7"
"1950","Yankees","98","56","31","296","155","1372.2","691","4.67","4.64","0.77",".272","72.3 %","","","4.15","4.29","","13.7"
"1948","Tigers","78","76","22","341","154","1377.0","725","4.43","3.85","0.60",".276","67.6 %","","","4.15","3.86","","19.8"
"1958","Athletics","73","81","25","393","156","1398.1","713","4.63","3.01","0.97",".274","70.2 %","","","4.15","3.90","","13.7"
"1935","Indians","82","71","21","294","156","1396.0","739","3.21","2.95","0.44",".289","66.2 %","","","4.15","3.99","","20.3"
"1994","Mets","55","58","35","351","113","1023.0","526","5.63","2.92","1.03",".291","71.2 %","","","4.15","4.40","","9.2"
"1952","Athletics","79","75","16","292","155","1384.1","723","3.65","3.42","0.73",".272","68.7 %","","","4.15","3.86","","13.4"
"1939","Pirates","68","85","15","310","153","1354.0","723","3.08","2.81","0.47",".295","66.8 %","","","4.15","3.95","","15.1"
"1979","Twins","82","80","33","375","162","1444.1","725","4.49","2.82","0.80",".302","70.9 %","","","4.16","3.86","","19.8"
"1929","Cubs","98","54","21","295","158","1398.2","759","3.53","3.46","0.50",".297","67.3 %","","","4.16","4.29","","16.9"
"2006","Mets","97","65","43","636","162","1461.1","731","7.15","3.25","1.11",".284","72.5 %","43.3 %","11.0 %","4.16","4.37","4.34","16.2"
"1999","Yankees","98","64","50","521","162","1439.2","731","6.95","3.63","0.99",".288","72.0 %","","","4.16","4.35","","21.2"
"2009","White Sox","79","83","36","577","162","1439.2","732","7.00","3.17","1.06",".294","71.7 %","44.3 %","10.3 %","4.16","4.21","4.19","20.5"
"1932","Senators","93","61","22","293","154","1383.1","716","2.84","3.42","0.47",".280","67.6 %","","","4.16","4.23","","14.0"
"2011","Reds","79","83","39","663","162","1467.2","720","6.82","3.31","1.13",".282","73.7 %","44.8 %","11.5 %","4.16","4.37","4.11","7.3"
"1988","Phillies","65","96","36","498","162","1433.0","734","5.39","3.94","0.74",".287","70.8 %","","","4.16","4.03","","5.0"
"1979","Phillies","84","78","29","424","163","1441.1","718","4.91","2.98","0.84",".283","70.2 %","","","4.16","3.91","","13.0"
"2001","Phillies","86","76","47","635","162","1445.1","719","6.76","3.28","1.06",".287","72.9 %","","","4.16","4.31","","13.6"
"1977","Red Sox","97","64","40","370","161","1428.0","712","4.78","2.38","1.00",".294","71.7 %","","","4.16","3.96","","18.2"
"1973","Padres","60","102","23","431","162","1430.0","770","5.32","3.45","0.99",".283","69.7 %","","","4.16","4.02","","4.6"
"2009","Phillies","93","69","44","621","162","1455.2","709","7.13","3.02","1.17",".296","75.0 %","40.8 %","11.0 %","4.16","4.36","4.22","13.3"
"2015","Athletics","68","94","28","649","162","1444.2","729","7.34","2.95","1.07",".289","71.0 %","45.0 %","11.4 %","4.16","4.13","4.13","11.0"
"1984","Reds","70","92","25","489","162","1461.1","747","5.83","3.56","0.79",".285","69.5 %","","","4.16","3.83","","10.1"
"2015","Mariners","76","86","45","671","162","1463.0","726","7.89","3.02","1.11",".298","72.8 %","46.3 %","12.5 %","4.16","4.14","3.99","10.6"
"2000","Mets","94","68","49","573","162","1450.0","738","7.22","3.56","1.02",".286","71.8 %","","","4.16","4.31","","19.1"
"2016","Yankees","84","78","48","645","162","1428.1","702","8.78","2.80","1.35",".292","74.2 %","46.9 %","15.5 %","4.16","4.20","3.86","18.2"
"1956","Red Sox","84","70","20","333","155","1398.0","751","4.58","4.29","0.84",".266","69.8 %","","","4.17","4.08","","18.4"
"2002","Phillies","80","81","47","611","161","1449.2","724","6.67","3.54","0.95",".282","71.8 %","46.5 %","10.4 %","4.17","4.18","4.20","13.1"
"1969","Phillies","63","99","21","398","162","1434.0","745","5.78","3.58","0.84",".296","70.9 %","","","4.17","3.71","","9.3"
"1920","Senators","68","84","10","255","153","1367.0","797","2.75","3.42","0.34",".300","64.0 %","","","4.17","3.86","","7.4"
"1979","Giants","71","91","34","464","162","1436.0","751","5.52","3.62","0.90",".290","70.8 %","","","4.17","4.06","","5.8"
"1985","Cubs","77","84","42","475","162","1442.1","729","5.12","3.24","0.97",".286","71.9 %","","","4.17","4.08","","12.0"
"1966","Mets","66","95","22","449","161","1427.0","761","4.88","3.29","1.05",".284","71.0 %","","","4.17","4.15","","1.7"
"1937","White Sox","86","68","21","262","154","1351.1","730","3.55","3.54","0.77",".281","68.8 %","","","4.17","4.58","","14.0"
"2003","White Sox","86","76","36","523","162","1431.0","715","6.64","3.26","1.02",".281","71.4 %","42.1 %","10.5 %","4.17","4.22","4.32","22.5"
"1959","Red Sox","75","79","25","376","154","1364.0","696","4.78","3.89","0.89",".280","72.0 %","","","4.17","4.12","","14.2"
"1970","Phillies","73","88","36","438","161","1461.0","730","6.45","3.31","0.81",".297","70.8 %","","","4.17","3.55","","18.9"
"1936","Yankees","102","51","21","274","155","1400.1","731","4.01","4.26","0.54",".289","69.8 %","","","4.17","4.60","","13.4"
"1928","Browns","82","72","15","282","154","1374.1","737","2.99","2.97","0.61",".274","66.8 %","","","4.17","4.14","","13.1"
"1994","Dodgers","58","56","20","353","114","1014.0","509","6.50","3.14","0.80",".301","70.6 %","","","4.17","3.99","","11.9"
"2004","Athletics","91","71","35","576","162","1471.1","742","6.32","3.33","1.00",".289","72.3 %","46.9 %","10.5 %","4.17","4.34","4.39","17.7"
"1955","Cubs","72","81","23","363","154","1378.1","713","4.48","3.92","1.00",".258","71.0 %","","","4.17","4.19","","13.5"
"1974","Tigers","72","90","15","316","162","1455.2","768","5.37","3.84","0.92",".281","70.4 %","","","4.17","4.06","","11.7"
"1991","Brewers","83","79","41","503","162","1463.2","744","5.28","3.24","0.90",".286","71.1 %","","","4.18","4.16","","10.2"
"1941","Tigers","75","79","16","312","155","1381.2","743","4.54","4.20","0.52",".281","67.6 %","","","4.18","3.84","","21.0"
"2008","Twins","88","75","42","648","163","1459.0","745","6.14","2.50","1.13",".301","72.1 %","42.0 %","10.2 %","4.18","4.30","4.29","13.3"
"2001","Red Sox","82","79","48","585","161","1448.0","745","7.83","3.38","0.91",".299","70.7 %","","","4.18","3.94","","19.1"
"2009","Reds","78","84","41","640","162","1458.1","723","6.60","3.56","1.16",".283","74.4 %","42.1 %","10.9 %","4.18","4.63","4.50","10.7"
"1993","Cubs","84","78","56","585","163","1449.2","739","5.62","2.92","0.95",".295","71.1 %","","","4.18","4.17","","13.3"
"2007","Twins","79","83","38","600","162","1436.2","725","6.85","2.63","1.16",".301","72.9 %","42.9 %","10.6 %","4.18","4.37","4.22","13.7"
"1979","Braves","66","94","34","443","160","1407.2","763","4.98","3.16","0.84",".290","68.8 %","","","4.18","3.99","","15.9"
"1987","Phillies","80","82","48","551","162","1448.1","749","5.45","3.65","1.04",".280","72.0 %","","","4.18","4.45","","8.5"
"1941","Red Sox","83","70","11","292","155","1372.0","750","3.77","4.01","0.58",".284","68.0 %","","","4.19","4.04","","15.6"
"1957","Athletics","59","94","19","404","154","1369.2","710","4.11","3.71","1.01",".264","71.2 %","","","4.19","4.29","","8.7"
"1998","Giants","89","74","44","596","163","1477.0","739","6.64","3.42","1.04",".287","72.7 %","","","4.19","4.42","","12.0"
"1988","Indians","78","84","46","392","162","1434.0","731","5.10","2.77","0.75",".292","69.0 %","","","4.19","3.73","","18.9"
"1998","Red Sox","92","70","53","594","162","1436.0","729","6.42","3.16","1.05",".282","71.4 %","","","4.19","4.40","","15.5"
"2005","Marlins","83","79","42","611","162","1442.1","732","7.02","3.51","0.72",".308","70.4 %","45.2 %","8.2 %","4.19","3.81","4.13","21.2"
"2010","Red Sox","89","73","44","605","162","1456.2","744","7.46","3.58","0.94",".292","70.9 %","43.6 %","9.0 %","4.19","4.08","4.13","15.5"
"2011","Mets","77","85","43","676","162","1448.0","742","7.00","3.19","0.91",".299","71.2 %","46.1 %","9.4 %","4.19","4.00","4.04","10.3"
"1988","Mariners","68","93","28","453","161","1428.1","744","6.18","3.52","0.91",".284","69.5 %","","","4.19","3.95","","17.1"
"2004","Red Sox","98","64","36","599","162","1451.1","768","7.02","2.77","0.99",".289","68.8 %","45.4 %","9.9 %","4.19","4.03","4.17","20.6"
"2005","Cubs","79","83","39","619","162","1440.0","714","7.85","3.60","1.16",".284","73.7 %","46.0 %","13.5 %","4.19","4.26","3.90","15.1"
"1984","Red Sox","86","76","32","363","162","1442.0","764","5.79","3.23","0.88",".297","69.8 %","","","4.19","3.89","","15.5"
"1983","Mariners","60","102","39","444","162","1418.1","740","5.77","3.45","0.92",".294","70.8 %","","","4.19","4.04","","16.1"
"2001","Giants","90","72","47","601","162","1463.1","748","6.64","3.56","0.89",".290","70.5 %","","","4.19","4.12","","16.6"
"1924","Tigers","86","68","20","314","156","1394.2","794","2.85","3.01","0.35",".297","64.5 %","","","4.19","4.02","","14.4"
"1929","Yankees","88","66","17","298","154","1366.2","773","3.19","3.19","0.55",".284","64.8 %","","","4.19","4.36","","10.1"
"2016","Rays","68","94","42","647","162","1426.1","713","8.56","3.10","1.33",".297","74.2 %","41.0 %","13.1 %","4.20","4.26","4.22","12.0"
"1934","Pirates","74","76","8","310","151","1329.2","712","3.30","2.40","0.53",".296","66.5 %","","","4.20","4.02","","14.3"
"2007","Giants","71","91","37","658","162","1453.2","720","6.54","3.67","0.82",".293","71.8 %","43.0 %","7.7 %","4.20","4.30","4.59","16.0"
"1987","Pirates","80","82","39","475","162","1445.0","744","5.69","3.50","1.02",".271","70.3 %","","","4.20","4.29","","12.8"
"1923","Red Sox","61","91","11","269","154","1372.0","807","2.70","3.41","0.31",".300","64.0 %","","","4.20","4.07","","12.7"
"1980","Blue Jays","67","95","23","448","162","1466.0","762","4.33","3.90","0.83",".285","71.3 %","","","4.20","4.34","","10.1"
"2011","Red Sox","90","72","36","606","162","1457.1","737","7.49","3.33","0.96",".285","70.8 %","42.3 %","9.1 %","4.20","4.05","4.13","13.7"
"2013","Orioles","85","77","57","635","162","1453.0","709","7.24","2.93","1.25",".291","74.6 %","42.2 %","12.9 %","4.20","4.33","3.99","10.7"
"1956","Orioles","69","85","24","385","154","1360.2","705","4.73","3.62","0.65",".281","68.4 %","","","4.20","3.52","","16.9"
"2001","Angels","75","87","43","546","162","1437.2","730","5.93","3.29","1.05",".286","72.6 %","","","4.20","4.48","","14.0"
"1956","Phillies","71","83","15","366","154","1377.1","738","4.90","2.86","1.12",".274","69.5 %","","","4.20","3.92","","12.6"
"1948","Red Sox","96","59","13","296","155","1379.1","720","3.35","3.86","0.54",".282","68.9 %","","","4.20","4.02","","21.7"
"2007","Dodgers","82","80","43","645","162","1450.0","727","7.35","3.22","0.91",".301","70.9 %","45.5 %","9.6 %","4.20","4.07","4.07","20.0"
