"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1945","Tigers","88","65","16","286","155","1393.2","565","3.80","3.47","0.31",".267","72.3 %","","","2.99","3.35","","18.5"
"1965","White Sox","95","67","53","429","162","1481.2","555","5.75","2.79","0.74",".253","75.7 %","","","2.99","3.30","","14.2"
"1971","Mets","83","79","22","373","162","1466.1","550","7.10","3.25","0.61",".265","75.2 %","","","3.00","2.92","","22.1"
"1926","Athletics","83","67","16","306","150","1346.0","569","3.82","3.02","0.25",".285","71.2 %","","","3.00","3.51","","21.1"
"1957","Yankees","98","56","42","333","154","1395.1","534","5.22","3.74","0.71",".254","77.2 %","","","3.00","3.65","","14.0"
"1973","Dodgers","95","66","38","374","162","1491.0","565","5.80","2.78","0.78",".252","75.7 %","","","3.00","3.39","","16.6"
"1971","Orioles","101","57","22","335","158","1415.1","530","5.04","2.65","0.79",".255","76.6 %","","","3.00","3.40","","17.3"
"1918","Reds","68","60","6","191","129","1142.1","496","2.53","3.00","0.15",".276","69.0 %","","","3.00","2.94","","5.2"
"1943","Tigers","78","76","20","285","155","1411.2","560","4.50","3.50","0.33",".257","71.6 %","","","3.00","3.08","","22.1"
"1985","Dodgers","95","67","36","412","162","1465.0","579","6.01","2.84","0.63",".263","73.1 %","","","3.00","3.24","","20.7"
"1981","Dodgers","63","47","24","297","110","997.0","356","5.44","2.73","0.49",".272","75.5 %","","","3.01","3.05","","14.6"
"1946","Cardinals","98","58","15","336","156","1397.0","545","3.91","3.18","0.41",".270","74.1 %","","","3.01","3.23","","18.3"
"1917","Pirates","51","103","6","241","157","1417.2","595","3.23","2.74","0.09",".266","67.4 %","","","3.01","2.66","","14.0"
"1965","Pirates","90","72","27","409","163","1479.0","580","5.37","2.85","0.54",".267","73.4 %","","","3.01","3.15","","20.0"
"1976","Dodgers","92","70","28","344","162","1470.2","543","4.57","2.93","0.59",".260","76.0 %","","","3.02","3.50","","14.3"
"1975","Pirates","92","69","31","387","161","1437.1","565","4.81","3.45","0.49",".263","74.2 %","","","3.02","3.42","","17.1"
"2011","Phillies","102","60","47","556","162","1477.0","529","7.92","2.46","0.73",".286","77.5 %","46.5 %","8.3 %","3.02","3.24","3.41","28.1"
"2014","Nationals","96","66","45","620","162","1470.2","555","7.88","2.15","0.67",".294","74.9 %","44.8 %","7.5 %","3.03","3.18","3.43","23.6"
"1917","Cardinals","82","70","10","294","154","1392.2","568","3.24","2.72","0.19",".262","68.5 %","","","3.03","2.80","","8.1"
"1946","Dodgers","96","60","28","380","157","1418.0","573","4.11","4.26","0.37",".260","74.0 %","","","3.03","3.47","","14.1"
"1972","Yankees","79","76","39","343","155","1373.1","527","4.10","2.75","0.57",".267","75.2 %","","","3.03","3.29","","8.8"
"1919","White Sox","88","52","3","213","140","1265.2","534","3.33","2.43","0.17",".285","68.4 %","","","3.04","2.88","","16.3"
"1967","Reds","87","75","39","397","162","1468.0","563","6.53","3.05","0.62",".276","75.6 %","","","3.05","3.09","","22.3"
"1967","Cardinals","101","60","45","433","161","1465.0","557","5.87","2.65","0.60",".268","74.4 %","","","3.05","3.05","","18.2"
"1940","Reds","100","53","11","261","155","1407.2","528","3.56","2.85","0.47",".253","73.8 %","","","3.05","3.70","","17.1"
"1954","White Sox","94","60","33","331","155","1383.0","521","4.56","3.36","0.61",".261","76.4 %","","","3.05","3.42","","19.8"
"1943","Pirates","80","74","12","314","158","1404.0","598","2.54","2.70","0.28",".272","70.2 %","","","3.06","3.19","","17.7"
