"Season","Team","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"2013","Pirates","13236.0","3","-4","1","4","55","60","2205","1816",".824","559","89","2.5","","24","-1.4","-5.8","21.0","-9.5","4.4","0.0","10.9"
"2014","Yankees","13077.0","0","-4","-4","-4","15","2","2105","1705",".810","547","91","4.2","","-13","-1.1","-5.2","18.1","-8.2","3.7","-0.3","10.8"
"2014","Brewers","13119.0","0","-8","-6","-1","3","-9","2253","1835",".815","499","94","8.4","","12","-6.0","-6.0","20.5","-5.2","3.4","-1.1","10.8"
"2006","Blue Jays","12855.0","-6","3","19","-1","32","39","2355","1946",".826","386","","","","","15.3","0.5","16.0","-6.2","25.5","6.7","10.5"
"2002","Pirates","12714.0","0","0","0","0","0","0","0","0","","0","","","","","7.9","8.2","-7.2","1.2","10.0","3.6","10.0"
"2003","Phillies","12993.0","-8","3","13","0","23","15","2592","1942",".749","341","","","","","5.7","5.0","5.6","11.8","28.1","5.5","9.1"
"2015","Blue Jays","12969.0","5","7","1","-4","2","16","2236","1857",".831","517","","","","21","-7.9","-1.8","10.2","0.5","1.0","-1.6","9.0"
"2009","Cubs","13008.0","6","-2","-2","-14","-8","-23","2147","1799",".838","385","71","2.0","","-27","-4.6","-3.6","8.3","-0.2","-0.2","-1.3","8.8"
"2010","Cardinals","13083.0","5","1","-2","8","18","48","2408","1958",".813","451","71","5.8","","18","-7.5","4.3","-7.0","0.1","-10.0","-2.4","8.8"
"2010","Mariners","12942.0","0","-1","-5","0","14","12","2471","2078",".841","453","47","-11.6","","4","-7.7","-0.4","30.5","-7.2","15.3","0.5","8.7"
"2015","Orioles","12912.0","0","4","15","16","-43","-7","2104","1701",".809","546","","","","18","13.1","3.4","-15.9","7.8","8.5","3.7","8.5"
"2009","Angels","13005.0","-4","7","9","15","28","51","2267","1896",".836","490","78","0.3","","19","2.4","10.9","-7.5","9.2","15.1","2.8","8.3"
"2006","Angels","13074.0","5","5","12","-4","-23","-2","2434","1983",".815","354","","","","","6.3","-1.8","6.8","-12.3","-1.0","1.1","8.0"
"2007","Blue Jays","13038.0","-7","3","7","10","69","81","2436","2048",".841","382","","","","","3.5","-3.1","21.8","2.7","24.9","3.9","7.9"
"2016","Rangers","12987.0","2","4","0","-2","0","-1","2227","1780",".799","595","","","","","3.3","5.3","5.3","-7.2","6.8","1.6","7.8"
"2012","Diamondbacks","12903.0","3","-5","5","6","13","25","2203","1829",".830","462","69","0.9","","19","6.3","-1.4","-23.9","12.8","-6.2","0.2","7.7"
"2007","Brewers","12999.0","-7","4","-3","13","-15","-8","2372","1898",".800","394","","","","","1.0","-0.4","21.0","-7.2","14.4","2.1","7.4"
"2014","Nationals","13236.0","7","7","1","6","-22","11","2216","1825",".824","431","61","2.7","","25","5.8","6.4","-16.5","-2.1","-6.3","0.8","7.4"
"2011","Dodgers","12888.0","-1","0","5","7","-5","7","2018","1700",".842","405","67","1.8","","-5","5.3","-2.1","0.8","3.6","7.6","1.8","7.3"
"2013","Mets","13290.0","-3","-1","11","-3","-12","-8","2181","1817",".833","543","57","1.4","","-35","10.3","-0.7","1.0","-0.8","9.8","2.8","7.2"
"2002","Blue Jays","12945.0","0","0","0","0","0","0","0","0","","0","","","","","4.8","1.8","1.3","-0.9","6.9","1.8","6.9"
"2004","Astros","12987.0","-3","-5","5","8","23","26","2244","1645",".733","306","","","","","4.1","1.4","11.5","-4.3","12.6","2.7","6.6"
