Year,Team,AVG,ISO,WAR,Spd,Def,lgID,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
2011,Royals,0.275,0.14,20.4,5.2,-13.7,AL,71,91,N,N,N,N,False
1987,Indians,0.263,0.158,10.6,4.8,-68.1,AL,61,101,N,,N,N,False
2007,Astros,0.26,0.152,12.4,4.0,5.3,NL,73,89,N,N,N,N,False
1998,Padres,0.253,0.155,17.0,4.3,-14.5,NL,98,64,Y,N,Y,N,True
2006,Padres,0.263,0.154,26.1,5.1,65.1,NL,88,74,Y,N,N,N,True
1987,Braves,0.258,0.145,13.8,4.4,6.0,NL,69,92,N,,N,N,False
1997,Mets,0.262,0.143,22.9,4.3,81.7,NL,88,74,N,N,N,N,False
2015,Astros,0.25,0.187,25.1,4.7,-20.9,AL,86,76,N,Y,N,N,True
2014,Pirates,0.259,0.145,27.2,4.4,1.2,NL,88,74,N,Y,N,N,True
1990,Royals,0.267,0.128,13.5,4.7,-75.9,AL,75,86,N,,N,N,False
2008,Angels,0.268,0.145,17.1,4.7,-7.9,AL,100,62,Y,N,N,N,True
2005,White Sox,0.262,0.163,18.0,4.5,13.8,AL,99,63,Y,N,Y,Y,True
2005,Tigers,0.272,0.157,20.9,4.5,5.9,AL,71,91,N,N,N,N,False
2001,Blue Jays,0.263,0.167,15.7,5.3,-18.5,AL,80,82,N,N,N,N,False
1995,Braves,0.25,0.16,17.6,4.1,56.8,NL,90,54,Y,N,Y,Y,True
2009,Cubs,0.255,0.152,15.7,3.8,45.9,NL,83,78,N,N,N,N,False
2008,Diamondbacks,0.251,0.164,9.2,4.6,-23.6,NL,82,80,N,N,N,N,False
2000,Marlins,0.262,0.147,14.6,5.1,30.1,NL,79,82,N,N,N,N,False
1993,Pirates,0.267,0.126,19.3,4.7,17.4,NL,75,87,N,,N,N,False
